證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"9933","中鼎","2539342","108284084","43.00","43.45","42.25","42.25","-0.7500","2235"
"9934","成霖","681365","11316467","16.80","16.80","16.50","16.50","-0.3000","337"
"9935","慶豐富","3313605","115827380","34.00","35.80","34.00","34.50","0.8000","1746"
"9937","全國","36238","2382203","65.40","66.00","65.40","66.00","0.6000","28"
"9938","百和","2280577","176893675","78.70","78.90","76.80","77.20","-1.3000","2254"
"9939","宏全","1055451","165593474","157.00","159.00","155.50","155.50","-0.5000","1027"
"9940","信義","503436","15043211","29.95","30.05","29.70","29.75","-0.1500","431"
"9941","裕融","335398","46614478","139.50","140.00","138.00","138.50","-0.5000","633"
"9941A","裕融甲特","62000","3195400","51.40","51.60","51.40","51.60","0.1000","19"
"9942","茂順","41387","4791364","117.00","117.00","115.00","115.50","-1.0000","75"
"9943","好樂迪","64090","5201651","81.00","81.70","80.90","80.90","-0.7000","98"
"9944","新麗","124290","2566122","20.60","20.70","20.60","20.70","0.0500","36"
"9945","潤泰新","6395257","305834388","47.30","48.35","47.30","47.50","0.5000","3939"
"9946","三發地產","530408","13112178","25.10","25.60","24.15","24.30","-0.9500","388"
"9955","佳龍","634389","21322214","33.85","33.95","33.35","33.35","-0.3000","576"
"9958","世紀鋼","20199334","3877081701","201.00","203.00","185.00","187.50","-13.5000","16808"
